id,date,price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,sqm_living,sqm_lot,sqm_above,sqm_basement,sqm_living15,sqm_lot15
7129300520,20141013,221900,3,1.0,1.0,0,0,3,7,1955,0,98178,47.5112,-122.257,109,524,109,0,124,524
6414100192,20141209,538000,3,2.25,2.0,0,0,3,7,1951,1991,98125,47.721,-122.319,238,672,201,37,157,709
5631500400,20150225,180000,2,1.0,1.0,0,0,3,6,1933,0,98028,47.7379,-122.233,71,929,71,0,252,748
2487200875,20141209,604000,4,3.0,1.0,0,0,5,7,1965,0,98136,47.5208,-122.393,182,464,97,84,126,464
1954400510,20150218,510000,3,2.0,1.0,0,0,3,8,1987,0,98074,47.6168,-122.045,156,750,156,0,167,697
7237550310,20140512,1225000,4,4.5,1.0,0,0,3,11,2001,0,98053,47.6561,-122.005,503,9469,361,142,442,9469
1321400060,20140627,257500,3,2.25,2.0,0,0,3,7,1995,0,98003,47.3097,-122.327,159,633,159,0,207,633
2008000270,20150115,291850,3,1.5,1.0,0,0,3,7,1963,0,98198,47.4095,-122.315,98,902,98,0,153,902
2414600126,20150415,229500,3,1.0,1.0,0,0,3,7,1960,0,98146,47.5123,-122.337,165,693,97,67,165,753
3793500160,20150312,323000,3,2.5,2.0,0,0,3,7,2003,0,98038,47.3684,-122.031,175,609,175,0,222,703
1736800520,20150403,662500,3,2.5,1.0,0,0,3,8,1965,0,98007,47.6007,-122.145,330,910,172,157,205,829
9212900260,20140527,468000,2,1.0,1.0,0,0,4,7,1942,0,98115,47.69,-122.292,107,557,79,27,123,557
114101516,20140528,310000,3,1.0,1.5,0,0,4,7,1927,0,98028,47.7558,-122.229,132,1848,132,0,165,1179
6054650070,20141007,400000,3,1.75,1.0,0,0,4,7,1977,0,98074,47.6127,-122.045,127,899,127,0,127,948
1175000570,20150312,530000,5,2.0,1.5,0,0,3,7,1900,0,98107,47.67,-122.394,168,450,168,0,126,450
